,minute_regulation,match_id,player_id,family_name,given_name,Event
456,39,M-1990-05,P-00857,Meola,Tony,2
457,43,M-1990-05,P-07253,Trittschuh,Steve,2
458,52,M-1990-05,P-02470,Wynalda,Eric,3
459,61,M-1990-05,P-08320,Kadlec,Miroslav,2
460,38,M-1990-06,P-00910,Mozer,Carlos,2
461,60,M-1990-06,P-09611,Branco,not applicable,2
462,83,M-1990-06,P-07554,Nilsson,Joakim,2
463,88,M-1990-06,P-07630,Dunga,not applicable,2
464,5,M-1990-07,P-00830,Brehme,Andreas,2
465,75,M-1990-09,P-08142,McMahon,Steve,2
466,39,M-1990-10,P-07472,Choi,Soon-ho,2
467,55,M-1990-11,P-03453,Ramzy,Ahmed,2
468,58,M-1990-11,P-02423,Kieft,Wim,2
469,10,M-1990-12,P-08056,Perdomo,José,2
470,23,M-1990-12,P-00261,Jiménez,Manuel,2
471,70,M-1990-12,P-02828,Villarroya,Francisco,2
472,80,M-1990-12,P-00294,Francescoli,Enzo,2
473,48,M-1990-13,P-02807,Bezsonov,Volodymyr,3
474,51,M-1990-13,P-05921,Zygmantovich,Andrei,2
475,55,M-1990-13,P-02881,Serrizuela,José,2
476,57,M-1990-13,P-04034,Caniggia,Claudio,2
477,70,M-1990-13,P-05008,Maradona,Diego,2
478,77,M-1990-13,P-00721,Monzón,Pedro,2
479,20,M-1990-14,P-01191,Onana,Jules,2
480,44,M-1990-14,P-07854,Klein,Michael,2
481,68,M-1990-14,P-02865,N'Kono,Thomas,2
482,86,M-1990-15,P-09681,Stojković,Dragan,2
483,62,M-1990-16,P-03732,Banks,Jimmy,2
